CODE,DESCRIPTION,FAMILY,GROSS PRICE,EAN13,PACKAGING
10500100006,FRONTALE PIATTO X INC.EL.,997,8.9,8.01535E+12,12
10500100007,FRONTALE PIATTO X INC.EL.,997,8.9,8.01535E+12,12
10500100012,FRONTALE PIATTO X INC.EL.,997,9.95,8.01535E+12,12
10500110020,FRONTALE PIATTO X INC.EL. INOX SATINATO 280X24X3,997,12.73,8.01535E+12,12
10500200106,FRONTALE C/ALETTA X INC.EL.,997,12.61,8.01535E+12,12
10500200120,FRONTALE C/ALETTA X INC.EL. INOX,997,13.67,8.01535E+12,12
10500200206,FRONTALE C/ALETTA X INC.EL.,997,12.61,8.01535E+12,12
10500200220,FRONTALE C/ALETTA X INC.EL. INOX,997,13.67,8.01535E+12,12
10500300106,FRONTALE ANGOLARE QUADRO X INC.EL.,997,12.09,8.01535E+12,
10500300207,FRONTALE ANGOLARE QUADRO X INC.EL.,997,12.09,8.01535E+12,
10500400106,FRONTALE ANGOLARE TONDO X INC.EL.,997,12.09,8.01535E+12,6
10500400107,FRONTALE ANGOLARE TONDO X INC.EL.,997,12.09,8.01535E+12,6
10500400206,FRONTALE ANGOLARE TONDO X INC.EL.,997,12.09,8.01535E+12,6
10500400207,FRONTALE ANGOLARE TONDO X INC.EL.,997,12.09,8.01535E+12,6
10500500006,FRONTALE CORTO PIATTO X INC.EL.,997,6.81,8.01535E+12,6
10500500007,FRONTALE CORTO PIATTO X INC.EL.,997,6.81,8.01535E+12,6
10500500012,FRONTALE CORTO PIATTO X INC.EL.,997,7.85,8.01535E+12,6
10500500020,FRONTALE CORTO PIATTO INOX X INC.EL.,997,9.95,8.01535E+12,6
10500500038,FRONTALE CORTO PIATTO X INC.EL.,997,8.9,8.01535E+12,
105020000,FRONTALE PIATTO INOX X INC.EL.,997,12.09,8.01535E+12,6
105021001,FRONTALE PIATTO INOX 34X2X240 X INC.EL.,997,19.45,8.01535E+12,6
105021002,FRONTALE PIATTO INOX 34X2X240 X INC.EL.,997,19.45,8.01535E+12,6
105030000,FRONTALE PB INT.28MM X INC.EL.,997,29.47,8.01535E+12,12
105031000,FRONTALE PB INT.38MM X INC.EL.,997,29.47,8.01535E+12,12
106000000,GRUPPO RULLO PER NEW MULTITOP,981,14.34,8.01535E+12,12
106003000,MANIGLIA RIBASSATA PER SIVER E = 19 MM.,982,13.99,8.01535E+12,12
106003010,MANIGLIA RIBASSATA PER SIVER A SPILLO,982,13.99,8.01535E+12,12
106004000,MANIGLIA PARSI PER SIVER E = 25 MM.,982,15.35,8.01535E+12,12
106004010,MANIGLIA PARSI PER SIVER SPILLO,982,15.35,8.01535E+12,12
106010000,BORCHIA TONDA,980,1.58,8.01535E+12,100
10601000012,BORCHIA TONDA NICHELATA,980,2.73,8.01535E+12,100
106011000,BORCHIA A FILO,980,1.58,8.01535E+12,100
10601100012,BORCHIA A FILO NICHELATA,980,2.73,8.01535E+12,100
